"id";"produto";"nome_busca";"cluster_sugerido";"subcluster_sugerido";"confianca";"motivo";"confirmado"
"10907";"AF MEL ORGANICO - 480G";"MEL ORGANICO - 480G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10913";"FR MELATONINA - 30ML";"MELATONINA - 30ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10914";"PC SPEEDO - FILTRO SOLAR - 14G";"SPEEDO - FILTRO SOLAR - 14G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10915";"PC SPEEDO - SUNSAFE STICK - 15,5G";"SPEEDO - SUNSAFE STICK - 15,5G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10916";"VF COQ-10 - 120 CÁP.";"10 - 120 CÁP.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10920";"AT ONLY4 - CHOCOLATE 70% MENTA - 5G";"ONLY4 - CHOCOLATE 70% MENTA - 5G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"10924";"LA LACIELLA - BARRA DE CHOCOLATE CACAU 70% - 80G";"LACIELLA - BARRA DE CHOCOLATE CACAU 70% - 80G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"10925";"PY EXTRATO DE ALOE VERA - 210ML";"EXTRATO DE ALOE VERA - 210ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10929";"HT DRIFT - DIFUSOR AROMA SUN - 1UN.";"DRIFT - DIFUSOR AROMA SUN - 1UN.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10930";"HT DRIFT - DIFUSOR AROMA SEED - 1UN.";"DRIFT - DIFUSOR AROMA SEED - 1UN.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10932";"EP DENSILUM ND3 - 30 COMP.";"DENSILUM ND3 - 30 COMP.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10934";"VT ORA PRO NOBIS - 60 CÁPS.";"ORA PRO NOBIS - 60 CÁPS.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
